REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
South Eastern,11,Ghazni,1101,Ghazni,10-07-22,Flood / flash flood,5,14,226,1555,211,15
South Eastern,11,Ghazni,1106,Dehyak,10-07-22,Flood / flash flood,0,0,8,144,8,0
Eastern,13,Kunar,1314,Nurgal,17-07-22,Flood / flash flood,0,0,6,42,6,0
Eastern,13,Kunar,1301,Asadabad,17-07-22,Flood / flash flood,0,0,13,91,13,0
Eastern,13,Kunar,1304,Sarkani,17-07-22,Flood / flash flood,0,0,6,36,6,0
Eastern,13,Kunar,1314,Nurgal,17-07-22,Flood / flash flood,0,0,4,43,0,0
Eastern,13,Kunar,1314,Nurgal,17-07-22,Flood / flash flood,0,0,7,47,7,0
Capital,5,Logar,501,Pul-e-Alam,23-07-22,Flood / flash flood,0,0,212,1484,99,113
Capital,4,Wardak,406,Chak,23-07-22,Flood / flash flood,0,0,26,186,19,7
Capital,4,Wardak,407,Saydabad,23-07-22,Flood / flash flood,0,0,13,75,12,1
Capital,4,Wardak,401,Maydanshahr,23-07-22,Flood / flash flood,0,0,6,46,6,0
Capital,4,Wardak,401,Maydanshahr,23-07-22,Flood / flash flood,0,0,6,46,6,0
Capital,5,Logar,502,Khoshi,23-07-22,Flood / flash flood,0,0,7,69,6,1
Capital,4,Wardak,402,Jalrez,23-07-22,Flood / flash flood,1,0,75,455,43,32
Capital,4,Wardak,403,Nerkh,23-07-22,Flood / flash flood,0,0,17,177,9,18
Capital,4,Wardak,404,Hesa-e- Awal-e- Behsud,23-07-22,Flood / flash flood,0,0,16,106,0,16
South Eastern,26,Khost,2602,Sabari,23-07-22,Flood / flash flood,0,0,59,491,55,0
Eastern,7,Laghman,704,Alingar,24-07-22,Flood / flash flood,0,0,7,50,4,3
Eastern,6,Nangarhar,615,Batikot,24-07-22,Flood / flash flood,0,1,613,4046,467,146
Eastern,6,Nangarhar,618,Shinwar,24-07-22,Flood / flash flood,0,0,97,705,93,4
Eastern,6,Nangarhar,601,Jalalabad,24-07-22,Flood / flash flood,0,0,136,2157,88,48
Eastern,6,Nangarhar,603,Surkhrod,24-07-22,Flood / flash flood,0,0,14,184,14,0
Eastern,13,Kunar,1309,Khaskunar,24-07-22,Flood / flash flood,0,0,6,49,6,0
North Eastern,15,Badakhshan,1520,Yamgan,24-07-22,Flood / flash flood,0,0,30,210,0,0
Eastern,13,Kunar,1308,Chawkay,24-07-22,Flood / flash flood,0,0,4,30,8,0
Eastern,13,Kunar,1304,Sarkani,24-07-22,Flood / flash flood,0,0,1,7,1,0
Eastern,6,Nangarhar,610,Hesarak,24-07-22,Flood / flash flood,0,0,16,104,7,9
Eastern,13,Kunar,1314,Nurgal,24-07-22,Flood / flash flood,0,0,15,101,11,0
South Eastern,26,Khost,2602,Sabari,24-07-22,Flood / flash flood,0,0,16,146,16,0
South Eastern,26,Khost,2612,Bak,24-07-22,Flood / flash flood,0,0,31,262,31,0
South Eastern,26,Khost,2613,Jajimaydan,24-07-22,Flood / flash flood,0,2,261,1913,248,13
Eastern,13,Kunar,1301,Asadabad,24-07-22,Flood / flash flood,0,0,11,81,11,0
Eastern,13,Kunar,1302,Watapur,24-07-22,Flood / flash flood,0,0,1,7,1,0
Eastern,13,Kunar,1313,Chapadara,24-07-22,Flood / flash flood,0,0,2,14,2,0
Eastern,13,Kunar,1305,Marawara,24-07-22,Flood / flash flood,0,0,12,89,12,0
Eastern,7,Laghman,701,Mehtarlam,24-07-22,Flood / flash flood,0,0,12,97,9,3
Eastern,13,Kunar,1306,Shigal Wa Sheltan,24-07-22,Flood / flash flood,0,0,3,24,3,0
South Eastern,12,Paktya,1201,Gardez,25-07-22,Flood / flash flood,0,0,7,51,7,0
