# signal_id,signal_original_x,signal_original_y,signal_fano_y,peak_xcoord,peak_ycoord,w,A,y0,xc,q,b_field
8.100000000000000000e+01,4.199650800000000000e+09,-5.212206290581625212e-04,-7.039721971051242973e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199663800000000000e+09,-5.216306759618636636e-04,-7.042288877922264463e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199676800000000000e+09,-5.220241066779237119e-04,-7.044862257707683361e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199689800000000000e+09,-5.224009665570727816e-04,-7.047442125938215484e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199702900000000000e+09,-5.227613165168418750e-04,-7.050048418497541474e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199715900000000000e+09,-5.231052316310449112e-04,-7.052641360156720754e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199728900000000000e+09,-5.234327998407022411e-04,-7.055240836571734361e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199741900000000000e+09,-5.237441208125240798e-04,-7.057846862998024603e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199754900000000000e+09,-5.240393049683739202e-04,-7.060459454615698001e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199767900000000000e+09,-5.243184727054817085e-04,-7.063078626526761656e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199780900000000000e+09,-5.245817538238428494e-04,-7.065704393752295651e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199793900000000000e+09,-5.248292871734478761e-04,-7.068336771229573410e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199806900000000000e+09,-5.250612205300354829e-04,-7.070975773809117003e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199819900000000000e+09,-5.252777107040062718e-04,-7.073621416251692825e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
8.100000000000000000e+01,4.199832900000000000e+09,-5.254789238828337476e-04,-7.076273713225245468e-04,4.198820000000000000e+09,3.299110000000000063e-03,1.601944029160998994e+06,3.257602477118338394e-03,-7.911714305505882557e-04,4.206136907299686909e+09,3.385427920129348234e+00,-2.400000000000000050e-02
